"release_time","input_tokens","output_tokens"
71.9266221523285,1078,428
72.2589859962463,883,413
72.4632060527802,169,217
72.6863391399384,1094,429
72.7723300457001,1001,427
73.0691070556641,391,93
73.1394371986389,4081,38
73.1889910697937,1085,388
73.2846510410309,1064,395
73.5016841888428,1070,411
73.8415629863739,972,575
74.0069530010223,1099,394
74.0469951629639,980,384
75.3045830726624,1057,393
75.627209186554,1082,409
75.7265260219574,1072,400
75.8338980674744,385,98
75.8627600669861,78,141
76.0997240543365,412,100
76.2861499786377,1027,388
76.5583801269531,1146,466
76.7493569850922,994,419
77.3106071949005,846,108
77.5469892024994,1140,430
78.2543420791626,1059,649
78.3139359951019,1354,200
78.6849970817566,167,171
78.7078430652618,1792,50
78.7416570186615,40,134
79.2460300922394,407,104
79.3164041042328,1065,411
79.3230800628662,181,241
79.4314060211182,1314,137
79.4667270183563,181,128
79.7872591018677,163,205
79.7889630794525,2,93
79.8173871040344,1314,203
79.9960579872131,1056,394
80.1826829910278,978,442
80.3967771530151,1217,565
80.4212141036987,1056,398
80.8953561782837,951,445
81.1448721885681,1233,401
81.6287829875946,1317,169
82.0660920143127,1103,520
82.1099100112915,887,375
82.413633108139,1123,396
82.4977490901947,1095,379
82.9190640449524,1079,419
83.7357451915741,1073,420
83.7976710796356,1147,413
84.0291020870209,212,183
84.571937084198,411,81
84.5881690979004,380,76
84.5973861217499,2522,62
84.6769649982452,990,468
84.894275188446,1106,414
84.9638969898224,1117,396
85.0764141082764,1147,396
85.4695730209351,127,178
85.7329750061035,1021,428
85.7964770793915,1081,394
86.2590181827545,1104,394
86.5256052017212,1149,429
86.7209680080414,399,86
86.9531590938568,1127,385
87.1067750453949,766,85
87.1588129997253,1073,396
87.3453741073608,91,16
87.3693881034851,922,402
87.4144711494446,1314,220
87.4402620792389,1049,396
87.4787201881409,1048,399
87.9732391834259,1180,404
88.1117770671844,194,217
88.3520750999451,1063,396
88.3815641403198,206,217
88.7262201309204,1083,386
88.9801030158997,1016,436
89.2667841911316,958,427
89.3954200744629,91,16
89.4468951225281,335,18
89.6992270946503,895,114
89.9456820487976,1004,532
90.2425870895386,194,223
90.9226961135864,1001,427
91.0145511627197,954,390
91.308865070343,4083,44
91.3867070674896,203,217
91.4307019710541,980,385
91.874675989151,91,24
91.9756491184235,428,102
92.2635459899902,878,110
92.2895531654358,4088,41
92.4849810600281,212,164
93.0643990039825,982,411
94.0530350208282,445,174
94.0625290870667,394,86
94.1011621952057,1023,421
94.3277370929718,1314,152
94.5120589733124,1009,420
94.6527271270752,1007,375
94.945454120636,1161,373
94.9915671348572,4085,52
95.415796995163,1067,429
95.9763531684875,1038,409
96.4915730953217,1136,422
96.601212978363,169,217
96.7221729755402,313,18
96.8200550079346,1116,574
97.0079681873322,1240,501
97.0141491889954,1060,58
97.0360560417175,209,167
97.1410071849823,428,108
97.3660500049591,1093,414
97.9556331634521,1045,585
98.1787171363831,435,111
98.4105072021484,1037,390
98.9606711864471,422,95
99.6255731582642,1313,201
99.6448121070862,1184,394
99.6502480506897,1001,396
99.8902101516724,890,387
100.096556186676,181,140
100.446159124374,1119,397
100.582192182541,407,92
101.057715177536,1188,388
101.163760185242,1016,375
101.460968017578,1095,417
101.570906162262,1027,395
101.72155714035,1102,455
102.067566156387,1026,429
102.201097011566,1996,70
102.232511997223,1314,139
102.250456094742,181,173
102.42054605484,1049,397
102.573461055756,1132,414
102.582485198975,1088,386
102.858752012253,125,205
103.483118057251,2396,69
103.51206111908,206,167
103.729902982712,376,73
104.356158018112,127,198
104.559528112411,4078,49
104.916233062744,404,109
105.275678157806,1026,409
105.477931976318,1199,394
105.832200050354,91,16
105.952538013458,1013,422
105.980323076248,990,392
106.111924171448,4083,38
106.330212116241,1314,200
106.390007972717,1069,499
106.408378124237,1017,519
107.007543087006,200,183
107.19845700264,124,204
107.346441030502,895,393
107.956807136536,399,112
108.055066108704,410,95
108.624238967896,1107,388
109.050897121429,212,217
109.360649108887,1007,385
110.109935998917,1052,652
110.114931106567,1143,388
110.359870195389,307,18
110.616767168045,392,91
110.820470094681,129,185
110.852025032043,129,159
111.124289989471,936,431
111.295228004456,128,205
111.541767120361,1025,388
112.066910982132,203,217
112.478559017181,431,97
112.625389099121,1000,396
112.732419967651,1045,496
112.989639997482,165,192
113.215188980103,1163,429
113.450308084488,1143,580
113.817831993103,1012,389
113.842202186584,1121,433
113.940420150757,971,373
114.087387084961,1088,377
114.522710084915,1028,498
114.652410030365,127,202
114.756231069565,1139,371
114.764084100723,1100,414
114.790793180466,1019,403
115.330765008926,1022,443
115.373219013214,1176,373
115.398333072662,1007,403
115.925734043121,382,38
116.507132053375,396,107
116.533773183823,401,147
116.621359109879,882,135
117.425830125809,1161,429
117.53253698349,21,139
117.668044090271,1053,383
117.952510118484,402,102
117.967826128006,1037,434
118.397287130356,4077,81
118.552319049835,945,504
118.946599006653,1050,403
119.311856031418,1036,386
119.342844009399,4075,91
119.409409046173,1062,413
119.459645032883,4105,67
119.574839115143,1070,398
119.899903059006,206,181
120.123244047165,419,130
120.139912128448,181,132
120.219519138336,1127,415
120.512313127518,1043,394
120.86786699295,4082,104
121.076812982559,413,95
121.290500164032,934,378
121.835289001465,1039,379
122.817427158356,91,24
123.022898197174,1017,393
123.031336069107,1007,468
123.064614057541,375,66
123.279551029205,10,146
123.414678096771,994,414
123.533207178116,298,18
123.665521144867,1002,388
123.777599096298,1021,390
124.259284973145,209,217
124.406539201736,386,96
124.442245006561,1092,415
124.681636095047,403,142
124.687122106552,415,101
124.722299098969,1013,363
124.834123134613,1014,395
124.934471130371,1034,377
125.103087186813,1002,396
125.449640035629,1149,516
125.714801073074,1112,403
125.783913135529,1314,159
125.892903089523,1917,56
126.224776029587,1043,431
126.237950086594,1032,421
126.372002124786,1093,382
126.396542072296,1173,429
127.16633105278,203,189
127.344222068787,390,97
127.874250173569,4085,59
127.89052605629,4090,56
127.991806030273,409,93
128.097364187241,402,92
128.288535118103,1354,225
128.818440198898,181,213
128.882228136063,1035,414
129.012474060059,1033,420
129.101442098618,206,179
129.260429143906,888,426
129.334871053696,209,183
129.505609035492,1102,433
129.677075147629,1007,424
129.732023000717,203,167
129.813594102859,1173,421
129.818924188614,1080,371
130.097843170166,395,92
130.106042146683,1011,677
130.426141023636,91,24
130.483345031738,209,167
130.809938192368,1159,399
130.908509969711,463,739
131.092575073242,1094,398
131.094174146652,130,199
131.370450973511,203,162
